repository_name,owner_username,stars,repository_url
tensorflow,tensorflow,167000,https://gitub.com/tensorflow/tensorflow
transformers,huggingface,68100,https://gitub.com/huggingface/transformers
pytorch,pytorch,57900,https://gitub.com/pytorch/pytorch
keras,keras-team,55900,https://gitub.com/keras-team/keras
scikit-learn,scikit-learn,51000,https://gitub.com/scikit-learn/scikit-learn
tesseract,tesseract-ocr,46200,https://gitub.com/tesseract-ocr/tesseract
face_recognition,ageitgey,45400,https://gitub.com/ageitgey/face_recognition
TensorFlow-Examples,aymericdamien,42100,https://gitub.com/aymericdamien/TensorFlow-Examples
faceswap,deepfakes,42000,https://gitub.com/deepfakes/faceswap
cs-video-courses,Developer-Y,40400,https://gitub.com/Developer-Y/cs-video-courses
ML-For-Beginners,microsoft,40100,https://gitub.com/microsoft/ML-For-Beginners
julia,JuliaLang,40100,https://gitub.com/JuliaLang/julia
awesome-scalability,binhnguyennus,40000,https://gitub.com/binhnguyennus/awesome-scalability
100-Days-Of-ML-Code,Avik-Jain,38100,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
d2l-zh,d2l-ai,34200,https://gitub.com/d2l-ai/d2l-zh
DeepFaceLab,iperov,34200,https://gitub.com/iperov/DeepFaceLab
caffe,BVLC,32800,https://gitub.com/BVLC/caffe
Made-With-ML,GokuMohandas,30500,https://gitub.com/GokuMohandas/Made-With-ML
yolov5,ultralytics,29700,https://gitub.com/ultralytics/yolov5
machine-learning-for-software-engineers,ZuzooVn,26100,https://gitub.com/ZuzooVn/machine-learning-for-software-engineers
Coursera-ML-AndrewNg-Notes,fengdu78,25700,https://gitub.com/fengdu78/Coursera-ML-AndrewNg-Notes
openpose,CMU-Perceptual-Computing-Lab,24700,https://gitub.com/CMU-Perceptual-Computing-Lab/openpose
handson-ml,ageron,24700,https://gitub.com/ageron/handson-ml
google-research,google-research,24500,https://gitub.com/google-research/google-research
spaCy,explosion,23900,https://gitub.com/explosion/spaCy
awesome-deep-learning-papers,terryum,23900,https://gitub.com/terryum/awesome-deep-learning-papers
data-science-ipython-notebooks,donnemartin,23500,https://gitub.com/donnemartin/data-science-ipython-notebooks
xgboost,dmlc,23000,https://gitub.com/dmlc/xgboost
fastai,fastai,22600,https://gitub.com/fastai/fastai
photoprism,photoprism,21700,https://gitub.com/photoprism/photoprism
