repository_name,owner_username,stars,repository_url
system-design-primer,donnemartin,192000,https://gitub.com/donnemartin/system-design-primer
tensorflow,tensorflow,167000,https://gitub.com/tensorflow/tensorflow
CS-Notes,CyC2018,155000,https://gitub.com/CyC2018/CS-Notes
Python,TheAlgorithms,141000,https://gitub.com/TheAlgorithms/Python
awesome-python,vinta,137000,https://gitub.com/vinta/awesome-python
project-based-learning,practical-tutorials,74700,https://gitub.com/practical-tutorials/project-based-learning
thefuck,nvbn,72700,https://gitub.com/nvbn/thefuck
transformers,huggingface,68100,https://gitub.com/huggingface/transformers
django,django,65600,https://gitub.com/django/django
flask,pallets,60200,https://gitub.com/pallets/flask
HelloGitHub,521xueweihan,58100,https://gitub.com/521xueweihan/HelloGitHub
pytorch,pytorch,57900,https://gitub.com/pytorch/pytorch
keras,keras-team,55900,https://gitub.com/keras-team/keras
core,home-assistant,54300,https://gitub.com/home-assistant/core
ansible,ansible,54100,https://gitub.com/ansible/ansible
scikit-learn,scikit-learn,51000,https://gitub.com/scikit-learn/scikit-learn
leetcode,azl397985856,49000,https://gitub.com/azl397985856/leetcode
fastapi,tiangolo,48100,https://gitub.com/tiangolo/fastapi
requests,psf,48000,https://gitub.com/psf/requests
superset,apache,47600,https://gitub.com/apache/superset
face_recognition,ageitgey,45400,https://gitub.com/ageitgey/face_recognition
scrapy,scrapy,44200,https://gitub.com/scrapy/scrapy
localstack,localstack,42700,https://gitub.com/localstack/localstack
ML-For-Beginners,microsoft,40100,https://gitub.com/microsoft/ML-For-Beginners
rich,Textualize,39100,https://gitub.com/Textualize/rich
100-Days-Of-ML-Code,Avik-Jain,38100,https://gitub.com/Avik-Jain/100-Days-Of-ML-Code
nerd-fonts,ryanoasis,37300,https://gitub.com/ryanoasis/nerd-fonts
